datetime,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
2021-05-25 15:00:47.928831,1.0,USA,"33,922,998",+61,"604,418 ",+2,"27,563,930",,"5,754,650","6,841","101,951","1,816","474,368,613","1,425,650","332,738,490 ",North America,10,551,1.0,0.2,0.01,"17,295"
2021-05-25 15:00:47.928831,2.0,India,"26,982,282","+34,786","307,703 ",+454,"24,088,320","+40,560","2,586,259","8,944","19,382",221,"332,594,176","238,911","1,392,123,725 ",Asia,52,"4,524",4.0,25,0.3,"1,858"
2021-05-25 15:00:47.928831,3.0,Brazil,"16,121,136",,"450,026 ",,"14,552,024",,"1,119,086","8,318","75,364","2,104","49,013,934","229,133","213,910,194 ",South America,13,475,4.0,,,"5,232"
2021-05-25 15:00:47.928831,4.0,France,"5,605,895",,"108,658 ",,"5,222,049",,"275,188","3,496","85,713","1,661","83,136,527","1,271,146","65,402,812 ",Europe,12,602,1.0,,,"4,208"
2021-05-25 15:00:47.928831,5.0,Turkey,"5,194,010",,"46,446 ",,"5,034,316",,"113,248","1,745","60,999",545,"52,594,333","617,671","85,149,488 ",Asia,16,"1,833",2.0,,,"1,330"
2021-05-25 15:00:47.928831,6.0,Russia,"5,017,795","+7,884","119,194 ",+393,"4,632,955","+8,743","265,646","2,300","34,371",816,"136,100,000","932,252","145,990,507 ",Europe,29,"1,225",1.0,54,3.0,"1,820"
2021-05-25 15:00:47.928831,7.0,UK,"4,464,900",,"127,724 ",,"4,303,621",,"33,555",124,"65,463","1,873","177,198,405","2,598,027","68,204,982 ",Europe,15,534,0.0,,,492
2021-05-25 15:00:47.928831,8.0,Italy,"4,194,672",,"125,335 ",,"3,792,898",,"276,439","1,382","69,469","2,076","64,665,967","1,070,945","60,382,159 ",Europe,14,482,1.0,,,"4,578"
2021-05-25 15:00:47.928831,9.0,Germany,"3,660,547",+557,"88,054 ",+15,"3,423,700","+14,900","148,793","3,477","43,566","1,048","59,197,639","704,535","84,023,708 ",Europe,23,954,1.0,7,0.2,"1,771"
2021-05-25 15:00:47.928831,10.0,Spain,"3,647,520",,"79,711 ",,"3,394,340",,"173,469","1,627","77,987","1,704","49,708,830","1,062,813","46,770,998 ",Europe,13,587,1.0,,,"3,709"
2021-05-25 15:00:47.928831,11.0,Argentina,"3,562,135",,"74,480 ",,"3,133,183",,"354,472","6,373","78,175","1,635","13,256,309","290,924","45,566,304 ",South America,13,612,3.0,,,"7,779"
2021-05-25 15:00:47.928831,12.0,Colombia,"3,249,433",,"85,207 ",,"3,046,147",,"118,079","6,582","63,259","1,659","16,419,432","319,648","51,367,216 ",South America,16,603,3.0,,,"2,299"
2021-05-25 15:00:47.928831,13.0,Poland,"2,867,187","+1,000","73,096 ",+151,"2,629,626","+1,947","164,465",990,"75,833","1,933","15,581,754","412,112","37,809,471 ",Europe,13,517,2.0,26,4.0,"4,350"
2021-05-25 15:00:47.928831,14.0,Iran,"2,855,396","+11,873","79,056 ",+208,"2,362,428","+14,676","413,912","4,695","33,612",931,"19,185,933","225,843","84,952,366 ",Asia,30,"1,075",4.0,140,2.0,"4,872"
2021-05-25 15:00:47.928831,15.0,Mexico,"2,397,307",+703,"221,695 ",+48,"1,916,144","+2,043","259,468","4,798","18,421","1,703","6,946,817","53,379","130,142,521 ",North America,54,587,19.0,5,0.4,"1,994"
2021-05-25 15:00:47.928831,16.0,Ukraine,"2,186,463","+2,608","49,685 ",+249,"1,975,064","+17,503","161,714",177,"50,266","1,142","10,022,457","230,412","43,498,056 ",Europe,20,875,4.0,60,6.0,"3,718"
2021-05-25 15:00:47.928831,17.0,Peru,"1,926,923",,"68,358 ",,"1,720,665",,"137,900","2,682","57,724","2,048","12,506,500","374,653","33,381,597 ",South America,17,488,3.0,,,"4,131"
2021-05-25 15:00:47.928831,18.0,Indonesia,"1,786,187","+5,060","49,627 ",+172,"1,642,074","+3,795","94,486",,"6,469",180,"16,230,571","58,784","276,106,612 ",Asia,155,"5,564",17.0,18,0.6,342
2021-05-25 15:00:47.928831,19.0,Czechia,"1,658,778",+695,"30,041 ",+4,"1,612,831",+64,"15,906",144,"154,639","2,801","23,250,240","2,167,497","10,726,768 ",Europe,6,357,0.0,65,0.4,"1,483"
2021-05-25 15:00:47.928831,20.0,South Africa,"1,637,848",,"55,874 ",,"1,541,250",,"40,724",546,"27,308",932,"11,378,282","189,714","59,976,056 ",Africa,37,"1,073",5.0,,,679
